aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Drive or Ride in a Carpool,0.316855156505302,1
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,"Bike, Scooter, or Other Micromobility",0,2
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0,3
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Other,0,4
Reporting Group,Bus,10,Alternative Modes,Used Alternative Mode,No,0.837547493884349,5
Reporting Group,Bus,10,Alternative Modes,Used Alternative Mode,Yes,0.162457710924895,6
Reporting Group,Bus,10,Fares,Fare Product,Monthly Pass,0.359982270691495,7
Reporting Group,Bus,10,Fares,Fare Product,Pay-as-you-go,0.461621716341372,8
Reporting Group,Bus,10,Fares,Fare Product,7-day Pass,0.150116735127223,9
Reporting Group,Bus,10,Fares,Fare Product,Student Pass (M7),0.00899350097150426,10
Reporting Group,Bus,10,Fares,Fare Product,1-day Pass,0.0192857768684063,11
Reporting Group,Bus,10,Fares,Reduced Fares,Full Fare,0.831979765855949,12
Reporting Group,Bus,10,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.0830069474830048,13
Reporting Group,Bus,10,Fares,Reduced Fares,Student (S-Card or M7),0.02148810603716,14
Reporting Group,Bus,10,Fares,Reduced Fares,Senior CharlieCard,0.0405483282285519,15
Reporting Group,Bus,10,Fares,Reduced Fares,Youth Pass,0.00927398268998858,16
Reporting Group,Bus,10,Fares,Reduced Fares,Transportation Access Pass (TAP),0.00439153495619137,17
Reporting Group,Bus,10,Fares,Reduced Fares,Other Reduced or Free Fare,0.00931133474915424,18
Reporting Group,Bus,10,Income,Household Income,Less than 40% of Area Median Income,0.137916341168951,19
Reporting Group,Bus,10,Income,Household Income,30% to 60% of Area Median Income,0.321015147057332,20
Reporting Group,Bus,10,Income,Household Income,60% to 80% of Area Median Income,0.228499396349691,21
Reporting Group,Bus,10,Income,Household Income,80% to 100% of Area Median Income,0.109676666632849,22
Reporting Group,Bus,10,Income,Household Income,100% to 140%  of Area Median Income,0.0865908468351477,23
Reporting Group,Bus,10,Income,Household Income,130% to 200% of Area Median Income,0.0256018748668418,24
Reporting Group,Bus,10,Income,Household Income,Prefer not to say,0.0906946543975164,25
Reporting Group,Bus,10,Income,Title VI Low-Income,Yes,0.756001227301888,26
Reporting Group,Bus,10,Income,Title VI Low-Income,No,0.244004351343059,27
Reporting Group,Bus,10,Other Demographics,Ability to Understand English,Always,0.920109682630325,28
Reporting Group,Bus,10,Other Demographics,Ability to Understand English,Often,0.0432299785470653,29
Reporting Group,Bus,10,Other Demographics,Ability to Understand English,Sometimes,0.0258721363933347,30
Reporting Group,Bus,10,Other Demographics,Ability to Understand English,Never,0.0107830578406104,31
Reporting Group,Bus,10,Other Demographics,Age,Under 18,0.0114736302505805,32
Reporting Group,Bus,10,Other Demographics,Age,18 to 25,0.23375951110173,33
Reporting Group,Bus,10,Other Demographics,Age,26 to 34,0.328960990662284,34
Reporting Group,Bus,10,Other Demographics,Age,35 to 44,0.192930876780348,35
Reporting Group,Bus,10,Other Demographics,Age,45 to 64,0.195634693282674,36
Reporting Group,Bus,10,Other Demographics,Age,65 or older,0.0372453236036145,37
Reporting Group,Bus,10,Other Demographics,Gender,Female,0.64389493073604,38
Reporting Group,Bus,10,Other Demographics,Gender,Male,0.351487471928541,39
Reporting Group,Bus,10,Other Demographics,Gender,Non-Binary,0.00461759733541924,40
Reporting Group,Bus,10,Race and Ethnicity,Hispanic or Latine,Yes,0.120579395515778,41
Reporting Group,Bus,10,Race and Ethnicity,Hispanic or Latine,No,0.875206725821399,42
Reporting Group,Bus,10,Race and Ethnicity,Hispanic or Latine,Prefer not to say,0.00421387866282315,43
Reporting Group,Bus,10,Race and Ethnicity,Race,American Indian or Alaska Native,0.00469426200295301,44
Reporting Group,Bus,10,Race and Ethnicity,Race,Asian,0.116231352782445,45
Reporting Group,Bus,10,Race and Ethnicity,Race,Black or African American,0.183712641922509,46
Reporting Group,Bus,10,Race and Ethnicity,Race,Middle Eastern or North African,0.0140471462756479,47
Reporting Group,Bus,10,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.00884883661728018,48
Reporting Group,Bus,10,Race and Ethnicity,Race,White,0.642808410977038,49
Reporting Group,Bus,10,Race and Ethnicity,Race,Other,0.0484445802148567,50
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Walked,0.947642100652785,51
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.016876418210876,52
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Drove Alone,0.0038789669134606,53
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.00916274887125557,54
Reporting Group,Bus,1,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.00547831273093249,55
